"x","value","y"
"aesthetic_emptiness",33,"aesthetic_emptiness"
"energetic_playfulness",0,"aesthetic_emptiness"
"intellectual_unease",7,"aesthetic_emptiness"
"lighthearted_humor",2,"aesthetic_emptiness"
"melancholic",10,"aesthetic_emptiness"
"pure_calm",20,"aesthetic_emptiness"
"serene_beauty",7,"aesthetic_emptiness"
"sublime_activation",1,"aesthetic_emptiness"
"aesthetic_emptiness",2,"energetic_playfulness"
"energetic_playfulness",19,"energetic_playfulness"
"intellectual_unease",4,"energetic_playfulness"
"lighthearted_humor",15,"energetic_playfulness"
"melancholic",2,"energetic_playfulness"
"pure_calm",8,"energetic_playfulness"
"serene_beauty",4,"energetic_playfulness"
"sublime_activation",10,"energetic_playfulness"
"aesthetic_emptiness",12,"intellectual_unease"
"energetic_playfulness",3,"intellectual_unease"
"intellectual_unease",151,"intellectual_unease"
"lighthearted_humor",0,"intellectual_unease"
"melancholic",17,"intellectual_unease"
"pure_calm",2,"intellectual_unease"
"serene_beauty",22,"intellectual_unease"
"sublime_activation",33,"intellectual_unease"
"aesthetic_emptiness",12,"lighthearted_humor"
"energetic_playfulness",23,"lighthearted_humor"
"intellectual_unease",1,"lighthearted_humor"
"lighthearted_humor",93,"lighthearted_humor"
"melancholic",0,"lighthearted_humor"
"pure_calm",9,"lighthearted_humor"
"serene_beauty",6,"lighthearted_humor"
"sublime_activation",0,"lighthearted_humor"
"aesthetic_emptiness",4,"melancholic"
"energetic_playfulness",1,"melancholic"
"intellectual_unease",25,"melancholic"
"lighthearted_humor",2,"melancholic"
"melancholic",49,"melancholic"
"pure_calm",6,"melancholic"
"serene_beauty",6,"melancholic"
"sublime_activation",3,"melancholic"
"aesthetic_emptiness",6,"pure_calm"
"energetic_playfulness",0,"pure_calm"
"intellectual_unease",7,"pure_calm"
"lighthearted_humor",10,"pure_calm"
"melancholic",18,"pure_calm"
"pure_calm",71,"pure_calm"
"serene_beauty",16,"pure_calm"
"sublime_activation",0,"pure_calm"
"aesthetic_emptiness",1,"serene_beauty"
"energetic_playfulness",2,"serene_beauty"
"intellectual_unease",10,"serene_beauty"
"lighthearted_humor",6,"serene_beauty"
"melancholic",7,"serene_beauty"
"pure_calm",30,"serene_beauty"
"serene_beauty",62,"serene_beauty"
"sublime_activation",10,"serene_beauty"
"aesthetic_emptiness",2,"sublime_activation"
"energetic_playfulness",29,"sublime_activation"
"intellectual_unease",22,"sublime_activation"
"lighthearted_humor",0,"sublime_activation"
"melancholic",1,"sublime_activation"
"pure_calm",10,"sublime_activation"
"serene_beauty",32,"sublime_activation"
"sublime_activation",112,"sublime_activation"
