"x","value","y","y (Right)","Min*(value)","Max*(value)","normalized"
"aesthetic_emptiness",33,"aesthetic_emptiness","aesthetic_emptiness",0,33,1
"energetic_playfulness",0,"aesthetic_emptiness","aesthetic_emptiness",0,33,0
"intellectual_unease",7,"aesthetic_emptiness","aesthetic_emptiness",0,33,0.21212121212121213
"lighthearted_humor",2,"aesthetic_emptiness","aesthetic_emptiness",0,33,0.06060606060606061
"melancholic",10,"aesthetic_emptiness","aesthetic_emptiness",0,33,0.30303030303030304
"pure_calm",20,"aesthetic_emptiness","aesthetic_emptiness",0,33,0.6060606060606061
"serene_beauty",7,"aesthetic_emptiness","aesthetic_emptiness",0,33,0.21212121212121213
"sublime_activation",1,"aesthetic_emptiness","aesthetic_emptiness",0,33,0.030303030303030304
"aesthetic_emptiness",2,"energetic_playfulness","energetic_playfulness",2,19,0
"energetic_playfulness",19,"energetic_playfulness","energetic_playfulness",2,19,1
"intellectual_unease",4,"energetic_playfulness","energetic_playfulness",2,19,0.11764705882352941
"lighthearted_humor",15,"energetic_playfulness","energetic_playfulness",2,19,0.7647058823529411
"melancholic",2,"energetic_playfulness","energetic_playfulness",2,19,0
"pure_calm",8,"energetic_playfulness","energetic_playfulness",2,19,0.35294117647058826
"serene_beauty",4,"energetic_playfulness","energetic_playfulness",2,19,0.11764705882352941
"sublime_activation",10,"energetic_playfulness","energetic_playfulness",2,19,0.47058823529411764
"aesthetic_emptiness",12,"intellectual_unease","intellectual_unease",0,151,0.07947019867549669
"energetic_playfulness",3,"intellectual_unease","intellectual_unease",0,151,0.019867549668874173
"intellectual_unease",151,"intellectual_unease","intellectual_unease",0,151,1
"lighthearted_humor",0,"intellectual_unease","intellectual_unease",0,151,0
"melancholic",17,"intellectual_unease","intellectual_unease",0,151,0.11258278145695365
"pure_calm",2,"intellectual_unease","intellectual_unease",0,151,0.013245033112582781
"serene_beauty",22,"intellectual_unease","intellectual_unease",0,151,0.1456953642384106
"sublime_activation",33,"intellectual_unease","intellectual_unease",0,151,0.2185430463576159
"aesthetic_emptiness",12,"lighthearted_humor","lighthearted_humor",0,93,0.12903225806451613
"energetic_playfulness",23,"lighthearted_humor","lighthearted_humor",0,93,0.24731182795698925
"intellectual_unease",1,"lighthearted_humor","lighthearted_humor",0,93,0.010752688172043012
"lighthearted_humor",93,"lighthearted_humor","lighthearted_humor",0,93,1
"melancholic",0,"lighthearted_humor","lighthearted_humor",0,93,0
"pure_calm",9,"lighthearted_humor","lighthearted_humor",0,93,0.0967741935483871
"serene_beauty",6,"lighthearted_humor","lighthearted_humor",0,93,0.06451612903225806
"sublime_activation",0,"lighthearted_humor","lighthearted_humor",0,93,0
"aesthetic_emptiness",4,"melancholic","melancholic",1,49,0.0625
"energetic_playfulness",1,"melancholic","melancholic",1,49,0
"intellectual_unease",25,"melancholic","melancholic",1,49,0.5
"lighthearted_humor",2,"melancholic","melancholic",1,49,0.020833333333333332
"melancholic",49,"melancholic","melancholic",1,49,1
"pure_calm",6,"melancholic","melancholic",1,49,0.10416666666666667
"serene_beauty",6,"melancholic","melancholic",1,49,0.10416666666666667
"sublime_activation",3,"melancholic","melancholic",1,49,0.041666666666666664
"aesthetic_emptiness",6,"pure_calm","pure_calm",0,71,0.08450704225352113
"energetic_playfulness",0,"pure_calm","pure_calm",0,71,0
"intellectual_unease",7,"pure_calm","pure_calm",0,71,0.09859154929577464
"lighthearted_humor",10,"pure_calm","pure_calm",0,71,0.14084507042253522
"melancholic",18,"pure_calm","pure_calm",0,71,0.2535211267605634
"pure_calm",71,"pure_calm","pure_calm",0,71,1
"serene_beauty",16,"pure_calm","pure_calm",0,71,0.22535211267605634
"sublime_activation",0,"pure_calm","pure_calm",0,71,0
"aesthetic_emptiness",1,"serene_beauty","serene_beauty",1,62,0
"energetic_playfulness",2,"serene_beauty","serene_beauty",1,62,0.01639344262295082
"intellectual_unease",10,"serene_beauty","serene_beauty",1,62,0.14754098360655737
"lighthearted_humor",6,"serene_beauty","serene_beauty",1,62,0.08196721311475409
"melancholic",7,"serene_beauty","serene_beauty",1,62,0.09836065573770492
"pure_calm",30,"serene_beauty","serene_beauty",1,62,0.47540983606557374
"serene_beauty",62,"serene_beauty","serene_beauty",1,62,1
"sublime_activation",10,"serene_beauty","serene_beauty",1,62,0.14754098360655737
"aesthetic_emptiness",2,"sublime_activation","sublime_activation",0,112,0.017857142857142856
"energetic_playfulness",29,"sublime_activation","sublime_activation",0,112,0.25892857142857145
"intellectual_unease",22,"sublime_activation","sublime_activation",0,112,0.19642857142857142
"lighthearted_humor",0,"sublime_activation","sublime_activation",0,112,0
"melancholic",1,"sublime_activation","sublime_activation",0,112,0.008928571428571428
"pure_calm",10,"sublime_activation","sublime_activation",0,112,0.08928571428571429
"serene_beauty",32,"sublime_activation","sublime_activation",0,112,0.2857142857142857
"sublime_activation",112,"sublime_activation","sublime_activation",0,112,1
